sar_row,sar_col,optical_row,optical_col
189,4969,430,6723
209,408,499,794
238,296,537,635
283,1153,598,1764
301,1445,623,2134
322,2172,646,3092
354,5200,636,7012
375,4861,643,6596
525,512,935,914
614,1983,1029,2804
722,5288,1071,7152
923,6958,1431,9460
960,1156,1494,1794
1184,2164,1787,3036
1287,1058,1952,1647
1460,5899,2098,7892
1519,6357,2176,8468
2053,314,2958,566
2128,417,3054,719
2187,5360,3105,7223
2211,3548,3141,4794
163,2861,321,3987
164,6964,428,9497
243,2966,452,4115
267,6579,530,8940
272,7150,586,9750
284,5356,547,7223
296,6428,585,8720
299,7171,607,9791
309,7345,612,10035
317,3119,421,4342
321,7197,639,9840
337,7165,663,9798
361,3033,555,4246
379,7320,700,9999
391,6615,724,8988
394,5458,703,7357
400,6991,756,9574
404,6593,735,8955
416,2693,783,3841
449,7352,810,10041
458,6776,828,9248
463,5357,775,7223
467,6738,841,9199
490,6319,838,8593
516,5049,815,6842
537,6073,904,8234
574,6492,964,8820
593,5666,955,7652
597,4837,927,6557
608,6355,1001,8624
620,4992,949,6771
628,6434,1028,8726
635,6393,1034,8680
636,765,1079,1225
641,5859,1019,7923
643,6107,1042,8271
655,4802,1004,6506
656,4910,990,6649
660,4420,1050,6011
665,4930,1004,6677
685,2984,1144,4210
689,4894,1037,6625
694,422,1150,783
695,2865,1149,4040
698,4915,1048,6653
703,4847,1060,6561
706,6331,1146,8581
719,6280,1157,8510
720,4877,1086,6606
731,4899,1098,6630
751,575,1205,980
768,6098,1192,8253
777,5240,1144,7075
782,3092,1270,4348
814,166,1304,436
825,5206,1209,7042
839,4960,1249,6718
839,6494,1314,8788
846,1114,1344,1733
847,6456,1319,8745
861,2940,1377,4123
876,188,1387,451
889,6132,1366,8286
889,6199,1368,8368
902,6457,1389,8740
917,6177,1409,8347
934,4785,1397,6481
937,6290,1427,8485
950,1306,1489,1986
960,710,1503,1141
1000,261,1537,546
1002,5834,1488,7860
1064,2427,1618,3372
1204,493,1825,843
1208,6628,1795,8916
1233,255,1864,519
1233,276,1866,541
1245,1188,1894,1829
1299,742,1956,1200
1308,5731,1885,7683
1403,2588,2071,3567
1458,7055,2121,9446
1535,417,2264,721
1557,7048,2255,9407
1609,4066,2332,5513
1613,4948,2357,6727
1628,432,2392,748
1639,6719,2341,8933
1639,6817,2330,9030
1660,4130,2416,5603
1665,5657,2414,7606
1672,5606,2415,7556
1705,5113,2475,6936
1708,6870,2432,9121
1738,3970,2510,5363
1760,4323,2557,5856
1767,4827,2564,6546
1789,695,2619,1105
1818,1450,2675,2186
1825,4327,2631,5845
1863,1188,2706,1842
1879,7042,2641,9336
1892,720,2753,1146
1949,5039,2800,6830
1954,4707,2802,6363
1970,4236,2813,5704
1987,4803,2845,6484
1991,5015,2857,6789
1992,6193,2815,8265
1995,5386,2846,7269
2000,5655,2847,7613
2012,4432,2874,5958
2045,4650,2921,6277
2053,395,2956,682
2054,4588,2921,6187
2057,1147,2991,1780
2110,4947,3002,6675
2129,4920,3038,6642
2145,5304,3057,7171
2153,5289,3069,7146
2185,4505,3090,6054
2206,5564,3113,7466
2208,3281,3128,4451
2212,4551,3121,6098
2219,4856,3162,6546
2243,6964,3130,9229
2244,6842,3145,9063
2251,3896,3182,5250
2261,7100,3155,9402
2268,4840,3204,6513
