sar_row,sar_col,optical_row,optical_col
2304,983,3395,1562
3312,1731,4870,2648
2811,186,4124,409
1823,1352,2691,2115
1477,1378,2193,2159
484,3162,736,4772
813,2216,1215,3373
755,3227,1130,4849
733,3280,1099,4924
582,2940,876,4438
578,2992,875,4514
655,2942,993,4445
655,2994,986,4521
948,2242,1410,3412
3343,3781,4919,5636
3337,3925,4916,5823
3598,3986,5292,5905
1476,2773,2206,4180
2412,700,3554,1154
1388,3511,2046,5251
1502,3436,2225,5141
1555,3409,2299,5101
3245,1994,4780,2993
1930,1563,2854,2412
1924,1595,2836,2450
1309,856,1945,1388
1378,873,2049,1407
1979,2723,2937,4129
2029,2720,3009,4131
1979,2808,2937,4235
2031,2806,3010,4240
1496,488,2210,847
3937,266,5771,493
2646,793,3901,1273
2078,3877,3079,5769
2132,3735,3145,5568
2340,3844,3449,5720
2287,3966,3364,5889
1471,582,2176,993
528,3309,807,4988
1298,707,1948,1186
2675,351,3925,659
3892,202,5718,411
1107,376,1641,713
2648,2324,3902,3522
2527,2265,3760,3439
846,3101,1266,4677
519,2453,784,3733
1712,1341,2527,2084
1208,3764,1788,5621
977,637,1470,1070
1743,145,2589,355
1242,696,1841,1148
1111,804,1648,1320
3510,2446,5184,3692
1130,2711,1678,4100
1481,1749,2186,2697
886,986,1323,1590
943,745,1407,1227
2468,1126,3635,1763
2133,2256,3149,3419
2536,1611,3731,2482
1296,34,1913,198
1510,1235,2236,1963
1425,1885,2111,2891
848,1010,1283,1634
631,3144,952,4746
1248,1287,1855,2008
1331,1314,1984,2074
1352,3592,2006,5371
6346,236,9309,444
5983,7,8788,115
6424,2773,9430,4062
5788,5182,8495,7617
5782,5053,8495,7450
5641,5030,8289,7422
5804,5035,8531,7424
5798,4928,8524,7271
5789,4763,8504,7034
5772,4761,8477,7030
5787,4650,8501,6866
6147,3291,9013,4853
6209,3311,9112,4889
6122,3357,8990,4947
6190,3377,9091,4981
6095,3277,8952,4830
6033,3337,8847,4943
6072,3350,8916,4965
6054,3264,8879,4812
5910,2832,8686,4213
5711,4369,8383,6430
5197,3622,7631,5359
5715,3893,8392,5781
5387,4317,7903,6369
5351,4324,7840,6381
5658,4382,8297,6468
4481,401,6594,686
6097,433,8951,743
5224,644,7667,1016
5488,1108,8058,1712
5125,984,7532,1531
5895,2011,8662,3001
4394,671,6445,1068
5364,2077,7881,3121
5779,1280,8483,1945
5700,1257,8364,1914
5755,1394,8444,2114
5188,37,7624,167
3563,2093,5238,3159
3625,2472,5336,3718
4571,2213,6726,3310
5271,3617,7744,5350
5190,3558,7617,5262
5267,3558,7744,5279
5267,3520,7745,5220
5188,3520,7619,5207
6697,0,9859,89
4535,660,6648,1050
4582,664,6715,1061
4578,753,6718,1187
4670,591,6854,968
4758,626,6990,1014
4657,641,6845,1028
4745,668,6971,1074
4741,2933,6957,4404
5789,4505,8500,6649
5342,2661,7842,3950
4373,4586,6410,6794
4695,3228,6897,4798
6120,326,8989,565
5447,4525,8008,6667
5403,4355,7934,6428
5520,30,8105,130
5623,23,8253,139
5604,66,8231,190
4436,2625,6522,3951
6221,621,9135,992
4117,2741,6065,4137
5237,4306,7692,6366
4743,1745,6977,2734
6469,1813,9495,2611
6413,1794,9415,2586
6382,1823,9373,2625
6469,1883,9504,2725
6387,1883,9378,2708
6385,1586,9369,2301
5638,4539,8283,6680
4470,326,6554,559
5410,913,7984,1435
5299,752,7780,1177
5231,886,7670,1374
5515,3112,8114,4608
5314,2836,7810,4195
6282,513,9218,853
6498,2258,9547,3291
6679,589,9793,936
6387,1883,9378,2708
7107,273,10432,378
3914,677,5753,1087
4420,1615,6499,2499
3702,1196,5435,1851
